,parameter value = 1,parameter value = 3,parameter value = 9,parameter value = 27,parameter value = 81
Mean Train Error,0.0,0.018681097069104598,0.03499596665770368,0.05818768486152191,0.0951734337187416
STD Train Error,0.0,0.0008083193199746209,0.0011136213170141877,0.00122233859991188,0.001594120113501219
Mean Test Error,0.03298387096774194,0.034892473118279574,0.04282258064516129,0.06381720430107526,0.09973118279569894
STD Test Error,0.0037259073051874687,0.004387241722252333,0.003422645843057965,0.005690041768443124,0.006007327779514457
