,parameter value = 0.0009765625,parameter value = 0.001953125,parameter value = 0.00390625,parameter value = 0.0078125,parameter value = 0.015625,parameter value = 0.03125,parameter value = 0.0625
Mean Train Error,0.02352783006184458,0.006520570045711213,0.00026216724926055393,0.00036972304382898636,0.00041677870395267553,0.00018150040333422964,7.394460876579726e-05
STD Train Error,0.0076562710539950785,0.004979267746389117,0.00017256651859361976,0.00025464771342936023,0.0007861282014543543,0.0003103169907927882,7.925400727716857e-05
Mean Test Error,0.05521505376344086,0.03951612903225806,0.031021505376344093,0.027499999999999997,0.02467741935483871,0.02779569892473118,0.04341397849462366
STD Test Error,0.007787537440798419,0.00726801388956762,0.003383681500550443,0.004295274986819179,0.002808593093894404,0.0031856823585001185,0.003649880378541488
