,parameter value = 1,parameter value = 2,parameter value = 3,parameter value = 4,parameter value = 5,parameter value = 6,parameter value = 7
Mean Train Error,0.061111858026351176,0.0007797795106211347,0.0004100564667921484,0.0003495563323474053,0.0007730572734606076,0.0006789459532132295,0.0005579456843237431
STD Train Error,0.011642439305412462,0.0005387863648699617,0.00030205219062464327,0.00021426966187831713,0.0024467004080604192,0.0021900363642096804,0.0016932967149737358
Mean Test Error,0.09244623655913978,0.03206989247311828,0.027204301075268816,0.028897849462365583,0.02709677419354839,0.027284946236559138,0.02905913978494623
STD Test Error,0.011310114500833659,0.003639570521471012,0.004017535847799872,0.0033136559331691314,0.004158941850712627,0.003211775039072184,0.0035762792654106678
