,parameter value = 1,parameter value = 2,parameter value = 3,parameter value = 4,parameter value = 5,parameter value = 6,parameter value = 7
Mean Train Error,0.2283140629201398,0.0457448238773864,0.03702608228018285,0.01870126378058618,0.014916644259209466,0.0051223447163215915,0.0048534552299005105
STD Train Error,0.028688901623368002,0.023078444667461576,0.0292075255887248,0.02350369060886812,0.018623604710856827,0.005909133242005861,0.005312847322529839
Mean Test Error,0.24263440860215058,0.07596774193548386,0.0700537634408602,0.04997311827956989,0.047392473118279564,0.03685483870967743,0.038172043010752686
STD Test Error,0.02787524235439644,0.02376873146963886,0.029915429801764565,0.023462968635992135,0.017616266402023042,0.006364726310731785,0.006882980395409979
